007590B8  Program entry point
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical158"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical159"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical160"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical161"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical162"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical163"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical164"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical165"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical166"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical167"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical168"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical169"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical170"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical171"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical172"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical173"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical174"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical175"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical176"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical177"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical178"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical179"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical180"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical181"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical182"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical183"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical184"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical185"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical186"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical187"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical188"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical189"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical190"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical191"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical192"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical193"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical194"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical195"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical196"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical197"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical198"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical199"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical200"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 016CCF88 "itemName"
009C7991  COND: EDI: = 016CCF94 "ItemInclusionList"
009C798F  COND: EBP: = 016CCF88 "itemName"
009C7991  COND: EDI: = 016CCFA8 "UnpurchasableItemList"
009C798F  COND: EBP: = 016CCFC0 "DisplayName"
009C7991  COND: EDI: = 016C1704 "Data"
009C798F  COND: EBP: = 016CCFCC "MaxStack"
009C7991  COND: EDI: = 016C1704 "Data"
009C798F  COND: EBP: = 016CCFD8 "Price"
009C7991  COND: EDI: = 016C1704 "Data"
009C798F  COND: EBP: = 016CCFE0 "ItemCalloutPlayer"
009C7991  COND: EDI: = 016C1704 "Data"
009C798F  COND: EBP: = 016CCFF4 "ItemCalloutSpectator"
009C7991  COND: EDI: = 016C1704 "Data"
009C798F  COND: EBP: = 016CD00C "CanBeSold"
009C7991  COND: EDI: = 016C1704 "Data"
009C798F  COND: EBP: = 016CD018 "CanBeDropped"
009C7991  COND: EDI: = 016C1704 "Data"
009C798F  COND: EBP: = 016CD028 "DropsOnDeath"
009C7991  COND: EDI: = 016C1704 "Data"
009C798F  COND: EBP: = 016CD038 "DisappersOnDeath"
009C7991  COND: EDI: = 016C1704 "Data"
009C798F  COND: EBP: = 016CD04C "UseWhenAcquired"
009C7991  COND: EDI: = 016C1704 "Data"
009C798F  COND: EBP: = 016CD05C "ItemClass"
009C7991  COND: EDI: = 016C1704 "Data"
009C798F  COND: EBP: = 016CD068 "ItemType"
009C7991  COND: EDI: = 016C1704 "Data"
009C798F  COND: EBP: = 016CD074 "InStore"
009C7991  COND: EDI: = 016C1704 "Data"
009C798F  COND: EBP: = 016CD07C "IsRecipe"
